run,modello,task,domanda_id,voto
1,gemma2:27b,GSM8K,50,1
1,llama3.2,MMLU,51,1
1,llama3.1,MMLU,51,0
1,gemma2:27b,MMLU,51,1
1,llama3.2,MMLU,52,1
1,llama3.1,MMLU,52,1
1,gemma2:27b,MMLU,52,0
1,llama3.2,HumanEval,53,1
1,llama3.1,HumanEval,53,1
1,gemma2:27b,HumanEval,53,1
1,llama3.2,HellaSwag,54,1
1,llama3.1,HellaSwag,54,1
1,gemma2:27b,HellaSwag,54,1
1,llama3.2,MMLU,55,1
1,llama3.1,MMLU,55,1
1,gemma2:27b,MMLU,55,1
1,llama3.2,GSM8K,56,1
1,llama3.1,GSM8K,56,1
1,gemma2:27b,GSM8K,56,1
1,llama3.2,SQuAD,57,1
1,llama3.1,SQuAD,57,1
1,gemma2:27b,SQuAD,57,1
1,llama3.2,GSM8K,58,1
1,llama3.1,GSM8K,58,1
1,gemma2:27b,GSM8K,58,1
1,llama3.2,GSM8K,59,0
1,llama3.1,GSM8K,59,1
1,gemma2:27b,GSM8K,59,1
1,llama3.2,HellaSwag,60,1
1,llama3.1,HellaSwag,60,1
1,gemma2:27b,HellaSwag,60,0
1,llama3.2,GSM8K,61,0
1,llama3.1,GSM8K,61,1
1,gemma2:27b,GSM8K,61,1
1,llama3.2,HellaSwag,62,0
1,llama3.1,HellaSwag,62,1
1,gemma2:27b,HellaSwag,62,1
1,llama3.2,MMLU,63,1
1,llama3.1,MMLU,63,1
1,gemma2:27b,MMLU,63,1
1,llama3.2,GSM8K,64,1
1,llama3.1,GSM8K,64,1
1,gemma2:27b,GSM8K,64,1
1,llama3.2,MMLU,65,1
1,llama3.1,MMLU,65,1
1,gemma2:27b,MMLU,65,1
1,llama3.2,MMLU,66,0
1,llama3.1,MMLU,66,0
1,gemma2:27b,MMLU,66,1
1,llama3.2,HellaSwag,67,1
1,llama3.1,HellaSwag,67,1
1,gemma2:27b,HellaSwag,67,1
1,llama3.2,GSM8K,68,0
1,llama3.1,GSM8K,68,0
1,gemma2:27b,GSM8K,68,1
1,llama3.2,HellaSwag,69,0
1,llama3.1,HellaSwag,69,0
1,gemma2:27b,HellaSwag,69,0
1,llama3.2,HumanEval,70,1
1,llama3.1,HumanEval,70,1
1,gemma2:27b,HumanEval,70,1
1,llama3.2,MMLU,71,1
1,llama3.1,MMLU,71,1
1,gemma2:27b,MMLU,71,1
1,llama3.2,HumanEval,72,1
1,llama3.1,HumanEval,72,1
1,gemma2:27b,HumanEval,72,1
1,llama3.2,SQuAD,73,0
1,llama3.1,SQuAD,73,0
1,gemma2:27b,SQuAD,73,1
1,llama3.2,HellaSwag,74,1
1,llama3.1,HellaSwag,74,0
1,gemma2:27b,HellaSwag,74,0
1,llama3.2,HumanEval,75,1
1,llama3.1,HumanEval,75,1
1,gemma2:27b,HumanEval,75,1
1,llama3.2,HumanEval,76,1
1,llama3.1,HumanEval,76,1
1,gemma2:27b,HumanEval,76,1
1,llama3.2,GSM8K,77,1
1,llama3.1,GSM8K,77,1
1,gemma2:27b,GSM8K,77,1
1,llama3.2,HellaSwag,78,1
1,llama3.1,HellaSwag,78,1
1,gemma2:27b,HellaSwag,78,1
1,llama3.2,SQuAD,79,0
1,llama3.1,SQuAD,79,1
1,gemma2:27b,SQuAD,79,1
1,llama3.2,GSM8K,80,1
1,llama3.1,GSM8K,80,1
1,gemma2:27b,GSM8K,80,1
1,llama3.2,MMLU,81,1
1,llama3.1,MMLU,81,0
1,gemma2:27b,MMLU,81,1
1,llama3.2,MMLU,82,1
1,llama3.1,MMLU,82,0
1,gemma2:27b,MMLU,82,1
1,llama3.2,HumanEval,83,1
1,llama3.1,HumanEval,83,1
1,gemma2:27b,HumanEval,83,1
1,llama3.2,SQuAD,84,1
1,llama3.1,SQuAD,84,1
1,gemma2:27b,SQuAD,84,1
