run,modello,task,domanda_id,voto
1,qwen2.5:7b,GSM8K,47,1
1,mistral:latest,GSM8K,47,1
1,phi3:mini,HellaSwag,48,0
1,qwen2.5:7b,HellaSwag,48,0
1,mistral:latest,HellaSwag,48,1
1,phi3:mini,GSM8K,49,0
1,qwen2.5:7b,GSM8K,49,1
1,mistral:latest,GSM8K,49,1
1,phi3:mini,GSM8K,50,0
1,qwen2.5:7b,GSM8K,50,0
1,mistral:latest,GSM8K,50,0
1,phi3:mini,MMLU,51,0
1,qwen2.5:7b,MMLU,51,1
1,mistral:latest,MMLU,51,1
1,phi3:mini,MMLU,52,0
1,qwen2.5:7b,MMLU,52,1
1,mistral:latest,MMLU,52,1
1,phi3:mini,HumanEval,53,1
1,qwen2.5:7b,HumanEval,53,1
1,mistral:latest,HumanEval,53,1
1,phi3:mini,HellaSwag,54,1
1,qwen2.5:7b,HellaSwag,54,1
1,mistral:latest,HellaSwag,54,1
1,phi3:mini,MMLU,55,1
1,qwen2.5:7b,MMLU,55,1
1,mistral:latest,MMLU,55,1
1,phi3:mini,GSM8K,56,0
1,qwen2.5:7b,GSM8K,56,1
1,mistral:latest,GSM8K,56,1
1,phi3:mini,SQuAD,57,1
1,qwen2.5:7b,SQuAD,57,1
1,mistral:latest,SQuAD,57,1
1,phi3:mini,GSM8K,58,0
1,qwen2.5:7b,GSM8K,58,1
1,mistral:latest,GSM8K,58,0
1,phi3:mini,GSM8K,59,0
1,qwen2.5:7b,GSM8K,59,1
1,mistral:latest,GSM8K,59,1
1,phi3:mini,HellaSwag,60,1
1,qwen2.5:7b,HellaSwag,60,1
1,mistral:latest,HellaSwag,60,1
1,phi3:mini,GSM8K,61,0
1,qwen2.5:7b,GSM8K,61,1
1,mistral:latest,GSM8K,61,0
1,phi3:mini,HellaSwag,62,0
1,qwen2.5:7b,HellaSwag,62,1
1,mistral:latest,HellaSwag,62,1
1,phi3:mini,MMLU,63,0
1,qwen2.5:7b,MMLU,63,1
1,mistral:latest,MMLU,63,1
1,phi3:mini,GSM8K,64,0
1,qwen2.5:7b,GSM8K,64,1
1,mistral:latest,GSM8K,64,1
1,phi3:mini,MMLU,65,1
1,qwen2.5:7b,MMLU,65,1
1,mistral:latest,MMLU,65,1
1,phi3:mini,MMLU,66,1
1,qwen2.5:7b,MMLU,66,0
1,mistral:latest,MMLU,66,1
1,phi3:mini,HellaSwag,67,0
1,qwen2.5:7b,HellaSwag,67,1
1,mistral:latest,HellaSwag,67,1
1,phi3:mini,GSM8K,68,0
1,qwen2.5:7b,GSM8K,68,1
1,mistral:latest,GSM8K,68,1
1,phi3:mini,HellaSwag,69,0
1,qwen2.5:7b,HellaSwag,69,0
1,mistral:latest,HellaSwag,69,1
1,phi3:mini,HumanEval,70,0
1,qwen2.5:7b,HumanEval,70,1
1,mistral:latest,HumanEval,70,1
1,phi3:mini,MMLU,71,0
1,qwen2.5:7b,MMLU,71,1
1,mistral:latest,MMLU,71,0
1,phi3:mini,HumanEval,72,1
1,qwen2.5:7b,HumanEval,72,1
1,mistral:latest,HumanEval,72,1
1,phi3:mini,SQuAD,73,1
1,qwen2.5:7b,SQuAD,73,1
1,mistral:latest,SQuAD,73,1
1,phi3:mini,HellaSwag,74,0
1,qwen2.5:7b,HellaSwag,74,1
1,mistral:latest,HellaSwag,74,1
1,phi3:mini,HumanEval,75,0
1,qwen2.5:7b,HumanEval,75,1
1,mistral:latest,HumanEval,75,0
1,phi3:mini,HumanEval,76,0
1,qwen2.5:7b,HumanEval,76,1
1,mistral:latest,HumanEval,76,0
1,phi3:mini,GSM8K,77,0
1,qwen2.5:7b,GSM8K,77,1
1,mistral:latest,GSM8K,77,1
1,phi3:mini,HellaSwag,78,0
1,qwen2.5:7b,HellaSwag,78,0
1,mistral:latest,HellaSwag,78,0
1,phi3:mini,SQuAD,79,0
1,qwen2.5:7b,SQuAD,79,1
1,mistral:latest,SQuAD,79,1
1,phi3:mini,GSM8K,80,0
1,qwen2.5:7b,GSM8K,80,1
1,mistral:latest,GSM8K,80,1
1,phi3:mini,MMLU,81,0
1,qwen2.5:7b,MMLU,81,1
1,mistral:latest,MMLU,81,1
1,phi3:mini,MMLU,82,0
1,qwen2.5:7b,MMLU,82,0
1,mistral:latest,MMLU,82,0
1,phi3:mini,HumanEval,83,1
1,qwen2.5:7b,HumanEval,83,1
1,mistral:latest,HumanEval,83,1
1,phi3:mini,SQuAD,84,0
1,qwen2.5:7b,SQuAD,84,1
1,mistral:latest,SQuAD,84,1
1,phi3:mini,HellaSwag,85,0
1,qwen2.5:7b,HellaSwag,85,1
1,mistral:latest,HellaSwag,85,1
1,phi3:mini,HumanEval,86,0
1,qwen2.5:7b,HumanEval,86,1
1,mistral:latest,HumanEval,86,1
1,phi3:mini,HellaSwag,87,0
1,qwen2.5:7b,HellaSwag,87,1
1,mistral:latest,HellaSwag,87,1
1,phi3:mini,MMLU,88,0
1,qwen2.5:7b,MMLU,88,1
1,mistral:latest,MMLU,88,0
1,phi3:mini,HumanEval,89,0
1,qwen2.5:7b,HumanEval,89,1
1,mistral:latest,HumanEval,89,1
1,phi3:mini,MMLU,90,1
1,qwen2.5:7b,MMLU,90,1
1,mistral:latest,MMLU,90,1
1,phi3:mini,MMLU,91,1
1,qwen2.5:7b,MMLU,91,1
1,mistral:latest,MMLU,91,1
1,phi3:mini,GSM8K,92,1
1,qwen2.5:7b,GSM8K,92,1
1,mistral:latest,GSM8K,92,1
1,phi3:mini,SQuAD,93,1
1,qwen2.5:7b,SQuAD,93,1
1,mistral:latest,SQuAD,93,1
1,phi3:mini,SQuAD,94,1
1,qwen2.5:7b,SQuAD,94,1
1,mistral:latest,SQuAD,94,1
1,phi3:mini,GSM8K,95,1
1,qwen2.5:7b,GSM8K,95,1
1,mistral:latest,GSM8K,95,1
1,phi3:mini,MMLU,96,1
1,qwen2.5:7b,MMLU,96,1
1,mistral:latest,MMLU,96,1
1,phi3:mini,GSM8K,97,0
1,qwen2.5:7b,GSM8K,97,0
1,mistral:latest,GSM8K,97,0
1,phi3:mini,HumanEval,98,0
1,qwen2.5:7b,HumanEval,98,1
1,mistral:latest,HumanEval,98,0
1,phi3:mini,HellaSwag,99,1
1,qwen2.5:7b,HellaSwag,99,1
1,mistral:latest,HellaSwag,99,1
1,phi3:mini,GSM8K,100,0
1,qwen2.5:7b,GSM8K,100,1
1,mistral:latest,GSM8K,100,1
1,phi3:mini,SQuAD,101,1
1,qwen2.5:7b,SQuAD,101,1
1,mistral:latest,SQuAD,101,1
1,phi3:mini,HellaSwag,102,1
1,qwen2.5:7b,HellaSwag,102,1
1,mistral:latest,HellaSwag,102,1
1,phi3:mini,SQuAD,103,1
1,qwen2.5:7b,SQuAD,103,1
1,mistral:latest,SQuAD,103,1
1,phi3:mini,HellaSwag,104,0
1,qwen2.5:7b,HellaSwag,104,0
1,mistral:latest,HellaSwag,104,1
1,phi3:mini,MMLU,105,0
1,qwen2.5:7b,MMLU,105,1
1,mistral:latest,MMLU,105,1
1,phi3:mini,HellaSwag,106,0
1,qwen2.5:7b,HellaSwag,106,1
1,mistral:latest,HellaSwag,106,0
1,phi3:mini,GSM8K,107,0
1,qwen2.5:7b,GSM8K,107,1
1,mistral:latest,GSM8K,107,1
1,phi3:mini,HellaSwag,108,0
1,qwen2.5:7b,HellaSwag,108,1
1,mistral:latest,HellaSwag,108,1
1,phi3:mini,GSM8K,109,0
1,qwen2.5:7b,GSM8K,109,1
1,mistral:latest,GSM8K,109,1
1,phi3:mini,HellaSwag,110,0
1,qwen2.5:7b,HellaSwag,110,0
1,mistral:latest,HellaSwag,110,0
1,phi3:mini,MMLU,111,1
1,qwen2.5:7b,MMLU,111,1
1,mistral:latest,MMLU,111,1
1,phi3:mini,HellaSwag,112,1
1,qwen2.5:7b,HellaSwag,112,1
1,mistral:latest,HellaSwag,112,0
1,phi3:mini,MMLU,113,0
1,qwen2.5:7b,MMLU,113,1
1,mistral:latest,MMLU,113,1
1,phi3:mini,GSM8K,114,0
1,qwen2.5:7b,GSM8K,114,1
1,mistral:latest,GSM8K,114,1
1,phi3:mini,HellaSwag,115,0
1,qwen2.5:7b,HellaSwag,115,1
1,mistral:latest,HellaSwag,115,1
1,phi3:mini,HumanEval,116,0
1,qwen2.5:7b,HumanEval,116,1
1,mistral:latest,HumanEval,116,1
1,phi3:mini,HumanEval,117,0
1,qwen2.5:7b,HumanEval,117,1
1,mistral:latest,HumanEval,117,1
1,phi3:mini,GSM8K,118,1
1,qwen2.5:7b,GSM8K,118,1
1,mistral:latest,GSM8K,118,0
1,phi3:mini,MMLU,119,1
1,qwen2.5:7b,MMLU,119,1
1,mistral:latest,MMLU,119,1
1,phi3:mini,SQuAD,120,1
1,qwen2.5:7b,SQuAD,120,1
1,mistral:latest,SQuAD,120,1
1,phi3:mini,MMLU,121,0
1,qwen2.5:7b,MMLU,121,0
1,mistral:latest,MMLU,121,0
1,phi3:mini,SQuAD,122,0
1,qwen2.5:7b,SQuAD,122,1
1,mistral:latest,SQuAD,122,1
1,phi3:mini,HumanEval,123,0
1,qwen2.5:7b,HumanEval,123,1
1,mistral:latest,HumanEval,123,1
1,phi3:mini,SQuAD,124,1
1,qwen2.5:7b,SQuAD,124,1
1,mistral:latest,SQuAD,124,1
1,phi3:mini,SQuAD,125,1
1,qwen2.5:7b,SQuAD,125,1
1,mistral:latest,SQuAD,125,1
1,phi3:mini,HumanEval,126,0
1,qwen2.5:7b,HumanEval,126,1
1,mistral:latest,HumanEval,126,1
1,phi3:mini,SQuAD,127,0
1,qwen2.5:7b,SQuAD,127,1
1,mistral:latest,SQuAD,127,1
1,phi3:mini,GSM8K,128,1
1,qwen2.5:7b,GSM8K,128,1
1,mistral:latest,GSM8K,128,1
1,phi3:mini,GSM8K,129,0
1,qwen2.5:7b,GSM8K,129,1
1,mistral:latest,GSM8K,129,1
1,phi3:mini,HellaSwag,130,1
1,qwen2.5:7b,HellaSwag,130,1
1,mistral:latest,HellaSwag,130,1
1,phi3:mini,HellaSwag,131,0
1,qwen2.5:7b,HellaSwag,131,1
1,mistral:latest,HellaSwag,131,1
1,phi3:mini,MMLU,132,1
1,qwen2.5:7b,MMLU,132,1
1,mistral:latest,MMLU,132,1
1,phi3:mini,MMLU,133,0
1,qwen2.5:7b,MMLU,133,1
1,mistral:latest,MMLU,133,0
1,phi3:mini,HumanEval,134,0
1,qwen2.5:7b,HumanEval,134,1
1,mistral:latest,HumanEval,134,1
1,phi3:mini,SQuAD,135,1
1,qwen2.5:7b,SQuAD,135,1
1,mistral:latest,SQuAD,135,1
1,phi3:mini,MMLU,136,1
1,qwen2.5:7b,MMLU,136,1
1,mistral:latest,MMLU,136,1
1,phi3:mini,SQuAD,137,1
1,qwen2.5:7b,SQuAD,137,1
1,mistral:latest,SQuAD,137,1
1,phi3:mini,HellaSwag,138,0
1,qwen2.5:7b,HellaSwag,138,1
1,mistral:latest,HellaSwag,138,1
1,phi3:mini,HellaSwag,139,0
1,qwen2.5:7b,HellaSwag,139,1
1,mistral:latest,HellaSwag,139,1
1,phi3:mini,HumanEval,140,0
1,qwen2.5:7b,HumanEval,140,1
1,mistral:latest,HumanEval,140,1
1,phi3:mini,GSM8K,141,0
1,qwen2.5:7b,GSM8K,141,1
1,mistral:latest,GSM8K,141,1
1,phi3:mini,HumanEval,142,0
1,qwen2.5:7b,HumanEval,142,1
1,mistral:latest,HumanEval,142,1
1,phi3:mini,MMLU,143,1
1,qwen2.5:7b,MMLU,143,1
1,mistral:latest,MMLU,143,1
1,phi3:mini,GSM8K,144,0
1,qwen2.5:7b,GSM8K,144,1
1,mistral:latest,GSM8K,144,1
1,phi3:mini,GSM8K,145,0
1,qwen2.5:7b,GSM8K,145,1
1,mistral:latest,GSM8K,145,0
1,phi3:mini,GSM8K,146,0
1,qwen2.5:7b,GSM8K,146,1
1,mistral:latest,GSM8K,146,0
1,phi3:mini,HumanEval,147,0
1,qwen2.5:7b,HumanEval,147,1
1,mistral:latest,HumanEval,147,1
1,phi3:mini,SQuAD,148,1
1,qwen2.5:7b,SQuAD,148,1
1,mistral:latest,SQuAD,148,1
1,phi3:mini,SQuAD,149,1
1,qwen2.5:7b,SQuAD,149,1
1,mistral:latest,SQuAD,149,1
1,phi3:mini,HumanEval,150,0
1,qwen2.5:7b,HumanEval,150,1
1,mistral:latest,HumanEval,150,1
1,phi3:mini,SQuAD,151,1
1,qwen2.5:7b,SQuAD,151,1
1,mistral:latest,SQuAD,151,1
1,phi3:mini,GSM8K,152,0
1,qwen2.5:7b,GSM8K,152,1
1,mistral:latest,GSM8K,152,1
1,phi3:mini,HumanEval,153,0
1,qwen2.5:7b,HumanEval,153,1
1,mistral:latest,HumanEval,153,0
1,phi3:mini,SQuAD,154,1
1,qwen2.5:7b,SQuAD,154,1
1,mistral:latest,SQuAD,154,1
1,phi3:mini,HellaSwag,155,0
1,qwen2.5:7b,HellaSwag,155,0
1,mistral:latest,HellaSwag,155,0
1,phi3:mini,HumanEval,156,0
1,qwen2.5:7b,HumanEval,156,1
1,mistral:latest,HumanEval,156,0
1,phi3:mini,HellaSwag,157,0
1,qwen2.5:7b,HellaSwag,157,1
1,mistral:latest,HellaSwag,157,1
1,phi3:mini,MMLU,158,1
1,qwen2.5:7b,MMLU,158,1
1,mistral:latest,MMLU,158,1
1,phi3:mini,HumanEval,159,0
1,qwen2.5:7b,HumanEval,159,1
1,mistral:latest,HumanEval,159,1
1,phi3:mini,MMLU,160,0
1,qwen2.5:7b,MMLU,160,1
1,mistral:latest,MMLU,160,1
1,phi3:mini,GSM8K,161,1
1,qwen2.5:7b,GSM8K,161,1
1,mistral:latest,GSM8K,161,1
1,phi3:mini,SQuAD,162,1
1,qwen2.5:7b,SQuAD,162,1
1,mistral:latest,SQuAD,162,1
1,phi3:mini,SQuAD,163,1
1,qwen2.5:7b,SQuAD,163,1
1,mistral:latest,SQuAD,163,1
1,phi3:mini,SQuAD,164,1
1,qwen2.5:7b,SQuAD,164,1
1,mistral:latest,SQuAD,164,1
1,phi3:mini,HellaSwag,165,0
1,qwen2.5:7b,HellaSwag,165,1
1,mistral:latest,HellaSwag,165,1
1,phi3:mini,HellaSwag,166,1
1,qwen2.5:7b,HellaSwag,166,1
1,mistral:latest,HellaSwag,166,1
1,phi3:mini,GSM8K,167,0
1,qwen2.5:7b,GSM8K,167,1
1,mistral:latest,GSM8K,167,0
1,phi3:mini,SQuAD,168,1
1,qwen2.5:7b,SQuAD,168,0
1,mistral:latest,SQuAD,168,1
1,phi3:mini,HellaSwag,169,0
1,qwen2.5:7b,HellaSwag,169,1
1,mistral:latest,HellaSwag,169,1
1,phi3:mini,HellaSwag,170,0
1,qwen2.5:7b,HellaSwag,170,1
1,mistral:latest,HellaSwag,170,1
1,phi3:mini,GSM8K,171,0
1,qwen2.5:7b,GSM8K,171,1
1,mistral:latest,GSM8K,171,1
1,phi3:mini,SQuAD,172,1
1,qwen2.5:7b,SQuAD,172,1
1,mistral:latest,SQuAD,172,1
1,phi3:mini,HumanEval,173,0
1,qwen2.5:7b,HumanEval,173,1
1,mistral:latest,HumanEval,173,0
1,phi3:mini,MMLU,174,1
1,qwen2.5:7b,MMLU,174,1
1,mistral:latest,MMLU,174,0
1,phi3:mini,MMLU,175,1
1,qwen2.5:7b,MMLU,175,1
1,mistral:latest,MMLU,175,1
1,phi3:mini,MMLU,176,1
1,qwen2.5:7b,MMLU,176,1
1,mistral:latest,MMLU,176,1
1,phi3:mini,SQuAD,177,0
1,qwen2.5:7b,SQuAD,177,1
1,mistral:latest,SQuAD,177,1
1,phi3:mini,MMLU,178,0
1,qwen2.5:7b,MMLU,178,1
1,mistral:latest,MMLU,178,0
1,phi3:mini,HellaSwag,179,1
1,qwen2.5:7b,HellaSwag,179,1
1,mistral:latest,HellaSwag,179,1
1,phi3:mini,HumanEval,180,1
1,qwen2.5:7b,HumanEval,180,1
1,mistral:latest,HumanEval,180,1
1,phi3:mini,SQuAD,181,1
1,qwen2.5:7b,SQuAD,181,1
1,mistral:latest,SQuAD,181,1
1,phi3:mini,GSM8K,182,0
1,qwen2.5:7b,GSM8K,182,1
1,mistral:latest,GSM8K,182,0
1,phi3:mini,SQuAD,183,1
1,qwen2.5:7b,SQuAD,183,1
1,mistral:latest,SQuAD,183,1
1,phi3:mini,HumanEval,184,0
1,qwen2.5:7b,HumanEval,184,1
1,mistral:latest,HumanEval,184,0
1,phi3:mini,HumanEval,185,0
1,qwen2.5:7b,HumanEval,185,1
1,mistral:latest,HumanEval,185,1
1,phi3:mini,MMLU,186,1
1,qwen2.5:7b,MMLU,186,1
1,mistral:latest,MMLU,186,1
1,phi3:mini,MMLU,187,1
1,qwen2.5:7b,MMLU,187,1
1,mistral:latest,MMLU,187,1
1,phi3:mini,HumanEval,188,0
1,qwen2.5:7b,HumanEval,188,1
1,mistral:latest,HumanEval,188,1
1,phi3:mini,MMLU,189,0
1,qwen2.5:7b,MMLU,189,0
1,mistral:latest,MMLU,189,1
1,phi3:mini,GSM8K,190,0
1,qwen2.5:7b,GSM8K,190,1
1,mistral:latest,GSM8K,190,0
1,phi3:mini,HellaSwag,191,1
